outlet_id,region,outlet_size,population_density,number_of_skus_sold,average_household_income
outlet_code_1036,outstation,746,205,10,52287
outlet_code_1037,outstation,1617,310,19,95830
outlet_code_1038,outstation,1425,287,17,86269
outlet_code_1039,outstation,798,212,11,54884
outlet_code_1040,outstation,1679,318,20,98962
outlet_code_1041,outstation,1538,301,18,91906
outlet_code_1042,outstation,1632,312,19,96594
outlet_code_1043,upcountry,2038,454,10,30568
outlet_code_1044,upcountry,1006,381,16,39184
outlet_code_1045,western,3126,4052,43,131293
outlet_code_1046,western,3049,3898,41,127458
outlet_code_1047,western,377,3448,46,163276
outlet_code_1048,western,382,3533,47,166107
outlet_code_1049,western,265,1774,30,107452
outlet_code_1050,western,913,1625,27,96259
outlet_code_1051,western,973,1746,30,102296
outlet_code_1052,western,1005,1811,31,105537
outlet_code_1053,western,931,1661,28,98057
outlet_code_1054,outstation,306,127,15,76558
outlet_code_1055,outstation,377,144,19,94152
outlet_code_1056,outstation,247,112,12,61745
outlet_code_1057,outstation,867,220,12,58369
outlet_code_1058,outstation,1483,294,18,89170
outlet_code_1059,outstation,774,209,11,53712
outlet_code_1060,outstation,854,219,12,57723
outlet_code_1061,upcountry,373,473,23,55932
outlet_code_1062,upcountry,814,361,12,33417
outlet_code_1063,upcountry,1086,389,18,41592
outlet_code_1064,western,2798,3396,36,114898
outlet_code_1065,western,1255,2309,39,130468
outlet_code_1066,western,1026,1853,31,107648
outlet_code_1067,western,881,1562,26,93112
outlet_code_1068,western,1426,2651,45,147561
outlet_code_1069,western,1007,1815,31,105735
outlet_code_1070,western,1179,2158,37,122919
outlet_code_1071,outstation,253,113,13,63224
outlet_code_1072,outstation,343,136,17,85642
outlet_code_1073,outstation,1207,261,15,75364
outlet_code_1074,outstation,1138,253,14,71909
outlet_code_1075,outstation,1344,277,16,82193
outlet_code_1076,outstation,826,215,11,56296
outlet_code_1077,outstation,744,205,10,52209
outlet_code_1078,outstation,1055,243,14,67752
outlet_code_1079,upcountry,2654,515,18,39817
outlet_code_1080,upcountry,227,327,12,34125
outlet_code_1081,upcountry,354,454,22,53168
outlet_code_1082,upcountry,392,492,24,58871
outlet_code_1083,upcountry,1656,446,29,58674
outlet_code_1084,upcountry,1696,450,30,59891
outlet_code_1085,western,2209,2218,24,85462
outlet_code_1086,western,335,2831,40,142716
outlet_code_1087,western,238,1371,26,94029
outlet_code_1088,western,380,3505,47,165178
outlet_code_1089,western,218,1063,23,83768
outlet_code_1090,western,1236,2273,39,128626
outlet_code_1091,western,1140,2081,35,119037
outlet_code_1092,western,1414,2628,45,146388
outlet_code_1093,western,921,1642,28,97082
outlet_code_1094,western,1225,2250,38,127507
outlet_code_1095,outstation,235,109,12,58692
outlet_code_1096,outstation,358,140,18,89591
outlet_code_1097,outstation,1365,280,17,83233
outlet_code_1098,outstation,1230,264,15,76478
outlet_code_1099,outstation,712,201,10,50603
outlet_code_1100,outstation,866,220,12,58300
outlet_code_1101,outstation,1013,238,13,65660
outlet_code_1102,outstation,811,213,11,55572
outlet_code_1103,outstation,1001,236,13,65067
outlet_code_1104,outstation,1089,247,14,69464
outlet_code_1105,outstation,773,209,11,53633
outlet_code_1106,outstation,1530,300,18,91480
outlet_code_1107,upcountry,723,352,10,30691
outlet_code_1108,upcountry,884,368,14,35507
outlet_code_1109,western,339,2892,41,144744
outlet_code_1110,western,367,3311,45,158686
outlet_code_1111,western,309,2434,36,129466
outlet_code_1112,western,368,3327,45,159236
outlet_code_1113,western,233,1290,25,91333
outlet_code_1114,western,1587,2974,51,163683
outlet_code_1115,western,1195,2190,37,124508
outlet_code_1116,western,1259,2317,40,130855
outlet_code_1117,western,876,1552,26,92575
outlet_code_1118,western,907,1614,27,95698
outlet_code_1119,outstation,2973,349,15,74333
outlet_code_1120,outstation,3682,384,18,92049
outlet_code_1121,outstation,370,142,18,92394
outlet_code_1122,outstation,337,134,17,84313
outlet_code_1123,outstation,245,111,12,61365
outlet_code_1124,outstation,878,221,12,58919
outlet_code_1125,outstation,970,232,13,63495
outlet_code_1126,outstation,774,209,11,53694
outlet_code_1127,outstation,1594,307,19,94705
outlet_code_1128,outstation,1346,278,16,82307
outlet_code_1129,outstation,1300,272,16,80012
outlet_code_1130,outstation,1399,284,17,84928
outlet_code_1131,outstation,1295,271,16,79731
outlet_code_1132,upcountry,1544,434,27,55320
outlet_code_1133,upcountry,1546,435,27,55374
outlet_code_1134,western,3746,5293,55,162325
outlet_code_1135,western,353,3090,43,151323
outlet_code_1136,western,1652,3105,53,170243
outlet_code_1137,western,1670,3139,54,171959
outlet_code_1138,western,1687,3174,55,173715
outlet_code_1139,western,949,1698,29,99919
outlet_code_1140,western,1082,1964,33,113221
outlet_code_1141,western,1563,2926,50,161315
outlet_code_1142,western,802,1404,24,85217
outlet_code_1143,western,1170,2140,36,122023
outlet_code_1144,outstation,231,108,12,57678
outlet_code_1145,outstation,240,110,12,60105
outlet_code_1146,outstation,827,215,11,56328
outlet_code_1147,outstation,1414,286,17,85686
outlet_code_1148,outstation,1042,241,13,67085
outlet_code_1149,outstation,1135,252,14,71730
outlet_code_1150,outstation,1177,257,15,73852
outlet_code_1151,outstation,1222,263,15,76091
outlet_code_1152,outstation,869,220,12,58436
outlet_code_1153,upcountry,1530,433,27,54885
outlet_code_1154,western,3239,4278,45,136944
outlet_code_1155,western,371,3369,46,160641
outlet_code_1156,western,272,1875,31,110833
outlet_code_1157,western,701,1202,20,75089
outlet_code_1158,western,1406,2611,45,145566
outlet_code_1159,western,898,1597,27,94826
outlet_code_1160,western,709,1217,20,75852
outlet_code_1161,western,1438,2675,46,148775
outlet_code_1162,western,1301,2403,41,135129
outlet_code_1163,western,1453,2706,46,150301
outlet_code_1164,outstation,1532,300,18,91613
outlet_code_1165,outstation,1200,260,15,75014
outlet_code_1166,outstation,1554,303,19,92717
outlet_code_1167,outstation,751,206,11,52552
outlet_code_1168,upcountry,293,393,17,43900
outlet_code_1169,upcountry,1553,435,27,55576
outlet_code_1170,upcountry,799,360,12,32983
outlet_code_1171,upcountry,767,357,11,32015
outlet_code_1172,upcountry,1024,382,16,39717
outlet_code_1173,upcountry,1642,444,29,58264
outlet_code_1174,upcountry,763,356,11,31893
outlet_code_1175,western,2004,1808,20,75204
outlet_code_1176,western,3391,4581,48,144530
outlet_code_1177,western,3684,5168,54,159205
outlet_code_1178,western,333,2800,40,141681
outlet_code_1179,western,343,2951,42,146687
outlet_code_1180,western,1443,2687,46,149336
outlet_code_1181,western,706,1212,20,75604
outlet_code_1182,western,1577,2953,51,162668
outlet_code_1183,western,1045,1889,32,109469
outlet_code_1184,western,1535,2871,49,158530
outlet_code_1185,outstation,2778,339,14,69456
outlet_code_1186,outstation,209,102,10,52373
outlet_code_1187,outstation,392,148,20,98017
outlet_code_1188,outstation,730,204,10,51513
outlet_code_1189,outstation,1382,282,17,84121
outlet_code_1190,outstation,950,230,13,62523
outlet_code_1191,outstation,1588,307,19,94386
outlet_code_1192,outstation,1556,303,19,92782
outlet_code_1193,upcountry,2875,538,21,43126
outlet_code_1194,upcountry,382,482,24,57227
outlet_code_1195,western,3365,4530,47,143262
outlet_code_1196,western,3251,4302,45,137540
outlet_code_1197,western,282,2031,32,116045
outlet_code_1198,western,231,1265,25,90488
outlet_code_1199,western,275,1927,31,112575
outlet_code_1200,western,1239,2277,39,128860
outlet_code_1201,western,1494,2789,48,154433
outlet_code_1202,western,1316,2432,42,136582
outlet_code_1203,western,1098,1995,34,114754
outlet_code_1204,outstation,3196,360,16,79889
outlet_code_1205,outstation,251,113,13,62764
outlet_code_1206,outstation,212,103,11,53025
outlet_code_1207,outstation,1200,260,15,75006
outlet_code_1208,outstation,1281,270,16,79071
outlet_code_1209,outstation,1530,300,18,91487
outlet_code_1210,outstation,1122,251,14,71120
outlet_code_1211,outstation,1423,287,17,86139
outlet_code_1212,outstation,1657,315,20,97839
outlet_code_1213,upcountry,2105,461,11,31582
outlet_code_1214,upcountry,2226,473,13,33388
outlet_code_1215,upcountry,248,348,14,37152
outlet_code_1216,upcountry,1265,407,21,46952
outlet_code_1217,western,353,3095,43,151504
outlet_code_1218,western,271,1858,31,110283
outlet_code_1219,western,1053,1906,32,110313
outlet_code_1220,western,1234,2268,39,128387
outlet_code_1221,western,1639,3077,53,168855
outlet_code_1222,western,1191,2183,37,124142
outlet_code_1223,western,841,1482,25,89110
outlet_code_1224,western,998,1795,30,104770
outlet_code_1225,western,1012,1825,31,106249
outlet_code_1226,western,1446,2692,46,149622
outlet_code_1227,western,902,1603,27,95167
outlet_code_1228,outstation,2823,341,14,70569
outlet_code_1229,outstation,3371,369,17,84271
outlet_code_1230,outstation,2372,319,12,59309
outlet_code_1231,outstation,352,138,18,88051
outlet_code_1232,outstation,1216,262,15,75824
outlet_code_1233,outstation,1283,270,16,79132
outlet_code_1234,outstation,1336,276,16,81792
outlet_code_1235,outstation,1312,273,16,80615
outlet_code_1236,outstation,737,204,10,51854
outlet_code_1237,outstation,1346,278,16,82295
outlet_code_1238,upcountry,1560,436,27,55810
outlet_code_1239,western,2837,3474,37,116856
outlet_code_1240,western,2041,1882,21,77060
outlet_code_1241,western,222,1123,23,85761
outlet_code_1242,western,1189,2177,37,123858
outlet_code_1243,western,1021,1843,31,107137
outlet_code_1244,western,746,1291,22,79572
outlet_code_1245,western,1335,2470,42,138498
outlet_code_1246,outstation,3785,389,19,94617
outlet_code_1247,outstation,383,146,19,95681
outlet_code_1248,outstation,215,104,11,53644
outlet_code_1249,outstation,1649,314,19,97471
outlet_code_1250,outstation,1531,300,18,91538
outlet_code_1251,outstation,953,230,13,62645
outlet_code_1252,outstation,1033,240,13,66642
outlet_code_1253,outstation,1206,261,15,75281
outlet_code_1254,outstation,1363,280,17,83135
outlet_code_1255,outstation,846,218,11,57307
outlet_code_1256,outstation,747,206,10,52345
outlet_code_1257,outstation,1378,281,17,83922
outlet_code_1258,outstation,1615,310,19,95733
outlet_code_1259,upcountry,1563,436,27,55882
outlet_code_1260,western,285,2080,33,117677
outlet_code_1261,western,278,1968,32,113918
outlet_code_1262,western,754,1307,22,80363
outlet_code_1263,western,843,1487,25,89325
outlet_code_1264,western,793,1385,23,84273
outlet_code_1265,western,798,1396,23,84775
outlet_code_1266,outstation,398,149,20,99381
outlet_code_1267,outstation,1121,251,14,71058
outlet_code_1268,outstation,1557,303,19,92845
outlet_code_1269,outstation,1618,310,19,95903
outlet_code_1270,outstation,1592,307,19,94621
outlet_code_1271,outstation,1282,270,16,79101
outlet_code_1272,outstation,802,212,11,55100
outlet_code_1273,upcountry,910,371,14,36310
outlet_code_1274,western,245,1470,27,97329
outlet_code_1275,western,399,3778,50,174262
outlet_code_1276,western,306,2387,36,127900
outlet_code_1277,western,360,3207,44,155219
outlet_code_1278,western,232,1287,25,91238
outlet_code_1279,western,330,2749,39,139967
outlet_code_1280,western,1114,2028,34,116389
outlet_code_1281,western,1230,2259,39,127968
outlet_code_1282,western,876,1553,26,92645
outlet_code_1283,western,750,1300,22,80003
outlet_code_1284,outstation,2654,333,13,66358
outlet_code_1285,outstation,381,145,19,95319
outlet_code_1286,outstation,1342,277,16,82124
outlet_code_1287,outstation,1197,260,15,74837
outlet_code_1288,outstation,1665,316,20,98269
outlet_code_1289,outstation,903,224,12,60168
outlet_code_1290,upcountry,368,468,23,55126
outlet_code_1291,upcountry,333,433,20,49983
outlet_code_1292,upcountry,1440,424,25,52210
outlet_code_1293,western,277,1950,32,113338
outlet_code_1294,western,296,2236,34,122852
outlet_code_1295,western,1494,2787,48,154354
outlet_code_1296,outstation,3973,399,20,99325
outlet_code_1297,outstation,309,127,15,77171
outlet_code_1298,outstation,211,103,11,52760
outlet_code_1299,outstation,293,123,15,73257
outlet_code_1300,outstation,1629,311,19,96452
outlet_code_1301,outstation,1299,272,16,79964
outlet_code_1302,outstation,735,204,10,51731
outlet_code_1303,outstation,1423,287,17,86149
outlet_code_1304,outstation,950,230,12,62481
outlet_code_1305,outstation,1227,263,15,76347
outlet_code_1306,outstation,1515,298,18,90736
outlet_code_1307,upcountry,1669,447,29,59085
outlet_code_1308,upcountry,1210,401,20,45303
outlet_code_1309,western,276,1943,31,113102
outlet_code_1310,western,830,1459,25,87955
outlet_code_1311,outstation,396,149,20,98954
outlet_code_1312,outstation,266,116,13,66395
outlet_code_1313,outstation,309,127,15,77215
outlet_code_1314,outstation,261,115,13,65312
outlet_code_1315,outstation,229,107,11,57362
outlet_code_1316,outstation,949,230,12,62467
outlet_code_1317,outstation,1606,309,19,95276
outlet_code_1318,outstation,1275,269,16,78771
outlet_code_1319,outstation,1334,276,16,81713
outlet_code_1320,outstation,906,225,12,60319
outlet_code_1321,upcountry,374,474,23,56051
outlet_code_1322,upcountry,254,354,14,38041
outlet_code_1323,upcountry,834,363,13,34028
outlet_code_1324,upcountry,1521,432,26,54616
outlet_code_1325,upcountry,1650,445,29,58488
outlet_code_1326,western,341,2921,41,145688
outlet_code_1327,western,288,2114,33,118795
outlet_code_1328,western,1138,2076,35,118784
outlet_code_1329,western,1321,2441,42,137065
outlet_code_1330,western,1143,2086,35,119276
outlet_code_1331,western,1360,2520,43,141021
outlet_code_1332,outstation,2595,330,13,64871
outlet_code_1333,outstation,3752,388,19,93788
outlet_code_1334,outstation,229,107,11,57282
outlet_code_1335,outstation,1110,249,14,70510
outlet_code_1336,outstation,983,234,13,64135
outlet_code_1337,outstation,1598,308,19,94904
outlet_code_1338,outstation,1555,303,19,92756
outlet_code_1339,upcountry,391,491,24,58646
outlet_code_1340,upcountry,955,376,15,37655
outlet_code_1341,upcountry,927,373,15,36822
outlet_code_1342,upcountry,1005,380,16,39148
outlet_code_1343,upcountry,1449,425,25,52482
outlet_code_1344,upcountry,1034,383,17,40023
outlet_code_1345,upcountry,1409,421,24,51264
outlet_code_1346,western,3579,4957,52,153934
outlet_code_1347,western,2634,3068,33,106708
outlet_code_1348,western,375,3429,46,162635
outlet_code_1349,western,273,1902,31,111743
outlet_code_1350,western,1547,2894,50,159699
outlet_code_1351,western,1079,1959,33,112947
outlet_code_1352,western,1199,2197,37,124869
outlet_code_1353,outstation,3285,364,16,82117
outlet_code_1354,outstation,3116,356,16,77899
outlet_code_1355,outstation,378,145,19,94510
outlet_code_1356,outstation,388,147,19,96937
outlet_code_1357,outstation,289,122,14,72141
outlet_code_1358,outstation,273,118,14,68198
outlet_code_1359,outstation,1470,292,18,88500
outlet_code_1360,outstation,1256,267,16,77776
outlet_code_1361,outstation,1243,265,15,77137
outlet_code_1362,upcountry,1547,435,27,55415
outlet_code_1363,upcountry,780,358,12,32404
outlet_code_1364,upcountry,1232,403,21,45951
outlet_code_1365,western,3198,4196,44,134894
outlet_code_1366,western,940,1681,28,99039
outlet_code_1367,western,1043,1885,32,109271
outlet_code_1368,western,1584,2969,51,163434
outlet_code_1369,western,1069,1938,33,111890
outlet_code_1370,western,1184,2167,37,123352
outlet_code_1371,western,1584,2968,51,163396
outlet_code_1372,western,749,1297,22,79872
outlet_code_1373,western,784,1368,23,83392
outlet_code_1374,western,782,1365,23,83243
outlet_code_1375,western,1156,2112,36,120577
outlet_code_1376,western,774,1347,23,82352
outlet_code_1377,outstation,2338,317,12,58442
outlet_code_1378,outstation,340,135,17,84877
outlet_code_1379,outstation,336,134,17,84079
outlet_code_1380,outstation,257,114,13,64187
outlet_code_1381,outstation,225,106,11,56182
outlet_code_1382,outstation,283,121,14,70856
outlet_code_1383,outstation,1571,304,19,93526
outlet_code_1384,outstation,1097,248,14,69868
outlet_code_1385,outstation,1588,307,19,94403
outlet_code_1386,outstation,1040,241,13,67001
outlet_code_1387,outstation,971,233,13,63551
outlet_code_1388,outstation,1472,293,18,88604
outlet_code_1389,outstation,1034,240,13,66710
outlet_code_1390,outstation,1542,301,18,92093
outlet_code_1391,upcountry,297,397,17,44563
outlet_code_1392,western,269,1831,30,109380
outlet_code_1393,western,307,2403,36,128424
outlet_code_1394,western,365,3273,45,157438
outlet_code_1395,western,1248,2297,39,129831
outlet_code_1396,western,1232,2263,39,128168
outlet_code_1397,western,1023,1846,31,107313
outlet_code_1398,western,1378,2556,44,142779
outlet_code_1399,outstation,343,136,17,85698
outlet_code_1400,outstation,328,132,16,81971
outlet_code_1401,outstation,393,148,20,98208
outlet_code_1402,outstation,1288,271,16,79418
outlet_code_1403,outstation,1146,254,14,72320
outlet_code_1404,outstation,844,217,11,57199
outlet_code_1405,outstation,1489,295,18,89461
outlet_code_1406,western,361,3210,44,155337
outlet_code_1407,western,292,2184,34,121140
outlet_code_1408,western,226,1194,24,88127
outlet_code_1409,western,1189,2177,37,123865
outlet_code_1410,western,833,1466,25,88282
outlet_code_1411,western,862,1524,26,91215
outlet_code_1412,western,1355,2510,43,140478
outlet_code_1413,western,1325,2449,42,137463
outlet_code_1414,outstation,258,115,13,64529
outlet_code_1415,outstation,244,111,12,61049
outlet_code_1416,outstation,329,132,16,82352
outlet_code_1417,outstation,353,138,18,88130
outlet_code_1418,outstation,213,103,11,53131
outlet_code_1419,outstation,388,147,19,96891
outlet_code_1420,outstation,1645,313,19,97243
outlet_code_1421,outstation,1411,285,17,85553
outlet_code_1422,outstation,1154,255,15,72713
outlet_code_1423,outstation,1531,300,18,91531
outlet_code_1424,upcountry,1102,390,18,42065
outlet_code_1425,upcountry,1159,396,19,43755
outlet_code_1426,upcountry,1643,444,29,58295
outlet_code_1427,upcountry,1113,391,18,42386
outlet_code_1428,western,2578,2957,32,103915
outlet_code_1429,western,316,2536,37,132853
outlet_code_1430,western,242,1426,26,95854
outlet_code_1431,western,1083,1966,33,113309
outlet_code_1432,western,1376,2553,44,142629
outlet_code_1433,outstation,3121,356,16,78014
outlet_code_1434,outstation,2992,350,15,74792
outlet_code_1435,outstation,3378,369,17,84451
outlet_code_1436,outstation,2922,346,15,73057
outlet_code_1437,outstation,2129,306,11,53226
outlet_code_1438,outstation,256,114,13,63892
outlet_code_1439,outstation,316,129,16,79027
outlet_code_1440,outstation,1232,264,15,76576
outlet_code_1441,outstation,1432,288,17,86616
outlet_code_1442,outstation,814,214,11,55678
outlet_code_1443,outstation,1355,279,17,82743
outlet_code_1444,outstation,1177,257,15,73831
outlet_code_1445,outstation,1451,290,18,87570
outlet_code_1446,outstation,1185,258,15,74258
outlet_code_1447,outstation,1350,278,17,82502
outlet_code_1448,outstation,926,227,12,61324
outlet_code_1449,outstation,1587,306,19,94372
outlet_code_1450,upcountry,3311,581,26,49658
outlet_code_1451,upcountry,741,354,11,31216
outlet_code_1452,upcountry,900,370,14,35993
outlet_code_1453,upcountry,1256,406,21,46674
outlet_code_1454,western,364,3254,45,156790
outlet_code_1455,western,1105,2011,34,115539
outlet_code_1456,western,1462,2724,47,151204
outlet_code_1457,western,1039,1877,32,108863
outlet_code_1458,western,1511,2822,48,156085
outlet_code_1459,outstation,3596,380,18,89908
outlet_code_1460,outstation,2508,325,13,62700
outlet_code_1461,outstation,2892,345,14,72298
outlet_code_1462,outstation,3788,389,19,94695
outlet_code_1463,outstation,211,103,11,52753
outlet_code_1464,outstation,225,106,11,56226
outlet_code_1465,outstation,316,129,16,78976
outlet_code_1466,outstation,1306,273,16,80318
outlet_code_1467,outstation,815,214,11,55729
outlet_code_1468,outstation,1042,241,13,67100
outlet_code_1469,outstation,1393,283,17,84654
outlet_code_1470,outstation,1394,283,17,84719
outlet_code_1471,outstation,774,209,11,53702
outlet_code_1472,outstation,1465,292,18,88261
outlet_code_1473,outstation,1150,254,15,72507
outlet_code_1474,outstation,1218,262,15,75886
outlet_code_1475,western,3086,3972,42,129290
outlet_code_1476,western,768,1336,22,81786
outlet_code_1477,western,1318,2437,42,136843
outlet_code_1478,western,865,1529,26,91470
outlet_code_1479,western,1195,2190,37,124490
outlet_code_1480,western,1215,2231,38,126532
outlet_code_1481,western,790,1379,23,83966
outlet_code_1482,western,1697,3193,55,174669
outlet_code_1483,western,782,1364,23,83211
outlet_code_1484,western,995,1790,30,104516
outlet_code_1485,western,1471,2743,47,152125
outlet_code_1486,western,772,1345,23,82245
outlet_code_1487,western,1112,2024,34,116186
outlet_code_1488,outstation,3728,386,19,93197
outlet_code_1489,outstation,3985,399,20,99615
outlet_code_1490,outstation,220,105,11,54914
outlet_code_1491,outstation,345,136,17,86327
outlet_code_1492,outstation,278,119,14,69460
outlet_code_1493,outstation,343,136,17,85638
outlet_code_1494,outstation,827,215,11,56327
outlet_code_1495,outstation,1698,320,20,99885
outlet_code_1496,outstation,1356,279,17,82786
outlet_code_1497,outstation,711,201,10,50555
outlet_code_1498,outstation,1239,265,15,76964
outlet_code_1499,upcountry,293,393,17,43984
outlet_code_1500,upcountry,1484,428,26,53514
outlet_code_1501,upcountry,1118,392,18,42529
outlet_code_1502,upcountry,891,369,14,35741
outlet_code_1503,western,2825,3450,37,116260
outlet_code_1504,western,299,2284,35,124482
outlet_code_1505,western,277,1959,32,113642
outlet_code_1506,western,250,1547,27,99895
outlet_code_1507,western,914,1628,27,96414
outlet_code_1508,western,736,1272,21,78588
outlet_code_1509,western,1322,2445,42,137241
outlet_code_1510,western,885,1570,26,93495
outlet_code_1511,western,1126,2052,35,117586
outlet_code_1512,western,1666,3131,54,171551
outlet_code_1513,western,1554,2909,50,160436
outlet_code_1514,outstation,3219,361,16,80470
outlet_code_1515,outstation,2766,338,14,69139
outlet_code_1516,outstation,3888,394,19,97211
outlet_code_1517,outstation,3754,388,19,93838
outlet_code_1518,outstation,2961,348,15,74016
outlet_code_1519,outstation,375,144,19,93862
outlet_code_1520,outstation,1512,297,18,90620
outlet_code_1521,outstation,883,222,12,59137
outlet_code_1522,outstation,1341,277,16,82072
outlet_code_1523,upcountry,2673,517,18,40101
outlet_code_1524,upcountry,1076,388,18,41275
outlet_code_1525,upcountry,1556,436,27,55676
outlet_code_1526,western,3915,5631,58,170769
outlet_code_1527,western,3421,4642,48,146040
outlet_code_1528,western,2741,3282,35,112049
outlet_code_1529,western,217,1056,23,83537
outlet_code_1530,western,1491,2783,48,154140
outlet_code_1531,western,793,1387,23,84337
outlet_code_1532,western,1087,1973,34,113666
outlet_code_1533,outstation,3405,370,17,85113
outlet_code_1534,outstation,2520,326,13,63003
outlet_code_1535,outstation,213,103,11,53214
outlet_code_1536,outstation,1224,263,15,76199
outlet_code_1537,outstation,839,217,11,56974
outlet_code_1538,outstation,1548,302,18,92415
outlet_code_1539,upcountry,262,362,15,39269
outlet_code_1540,upcountry,324,424,19,48545
outlet_code_1541,upcountry,1153,395,19,43590
outlet_code_1542,western,3733,5266,55,161638
outlet_code_1543,western,215,1030,22,82663
outlet_code_1544,western,283,2041,32,116370
outlet_code_1545,western,1410,2620,45,146004
outlet_code_1546,western,747,1295,22,79727
outlet_code_1547,western,1455,2710,46,150507
outlet_code_1548,western,960,1720,29,100989
outlet_code_1549,western,1564,2929,50,161448
outlet_code_1550,western,1190,2180,37,124021
outlet_code_1551,outstation,231,108,12,57803
outlet_code_1552,outstation,207,102,10,51870
outlet_code_1553,outstation,287,122,14,71650
outlet_code_1554,outstation,1143,253,14,72160
outlet_code_1555,outstation,1069,244,14,68473
outlet_code_1556,outstation,1035,240,13,66728
outlet_code_1557,outstation,1490,295,18,89520
outlet_code_1558,outstation,1090,247,14,69513
outlet_code_1559,outstation,1662,315,20,98106
outlet_code_1560,outstation,1517,298,18,90827
outlet_code_1561,upcountry,365,465,22,54724
outlet_code_1562,upcountry,1533,433,27,54989
outlet_code_1563,upcountry,1420,422,24,51596
outlet_code_1564,upcountry,1322,412,22,48671
outlet_code_1565,upcountry,1022,382,16,39669
outlet_code_1566,upcountry,1440,424,25,52197
outlet_code_1567,upcountry,1518,432,26,54532
outlet_code_1568,upcountry,1111,391,18,42333
outlet_code_1569,western,2120,2040,22,80989
outlet_code_1570,western,953,1707,29,100344
outlet_code_1571,western,1342,2483,42,139165
outlet_code_1572,western,880,1561,26,93025
outlet_code_1573,outstation,217,104,11,54234
outlet_code_1574,outstation,228,107,11,56976
outlet_code_1575,outstation,772,209,11,53577
outlet_code_1576,outstation,1320,274,16,80995
outlet_code_1577,outstation,1075,245,14,68753
outlet_code_1578,outstation,1003,236,13,65131
outlet_code_1579,upcountry,306,406,18,45939
outlet_code_1580,upcountry,366,466,22,54843
outlet_code_1581,upcountry,1254,405,21,46624
outlet_code_1582,upcountry,758,356,11,31727
outlet_code_1583,upcountry,869,367,13,35076
outlet_code_1584,upcountry,1366,417,23,49988
outlet_code_1585,western,3259,4317,45,137934
outlet_code_1586,western,2285,2370,26,89241
outlet_code_1587,western,3576,4952,52,153797
outlet_code_1588,western,3174,4147,43,133685
outlet_code_1589,western,3536,4872,51,151793
outlet_code_1590,western,213,989,22,81300
outlet_code_1591,western,212,974,22,80785
outlet_code_1592,western,1575,2950,51,162501
outlet_code_1593,western,1048,1897,32,109836
outlet_code_1594,western,1583,2967,51,163330
outlet_code_1595,western,893,1585,27,94262
outlet_code_1596,western,1664,3129,54,171435
outlet_code_1597,outstation,264,116,13,65946
outlet_code_1598,outstation,217,104,11,54261
outlet_code_1599,outstation,300,125,15,75089
outlet_code_1600,outstation,368,142,18,91879
outlet_code_1601,outstation,1000,236,13,64996
outlet_code_1602,outstation,1356,279,17,82780
outlet_code_1603,outstation,1342,277,16,82125
outlet_code_1604,outstation,733,204,10,51639
outlet_code_1605,upcountry,271,371,15,40609
outlet_code_1606,upcountry,1221,402,20,45627
outlet_code_1607,upcountry,1037,384,17,40096
outlet_code_1608,upcountry,955,375,15,37637
outlet_code_1609,upcountry,795,360,12,32852
outlet_code_1610,upcountry,1305,410,22,48141
outlet_code_1611,western,2621,3042,32,106038
outlet_code_1612,western,201,820,20,75677
outlet_code_1613,western,206,891,21,78026
outlet_code_1614,western,323,2641,38,136363
outlet_code_1615,western,268,1819,30,108967
outlet_code_1616,western,1133,2066,35,118312
outlet_code_1617,western,970,1739,29,101964
outlet_code_1618,western,916,1633,28,96630
outlet_code_1619,western,1107,2014,34,115718
outlet_code_1620,outstation,2136,307,11,53411
outlet_code_1621,outstation,243,111,12,60678
outlet_code_1622,outstation,367,142,18,91874
outlet_code_1623,outstation,384,146,19,96106
outlet_code_1624,outstation,295,124,15,73734
outlet_code_1625,outstation,1284,270,16,79206
outlet_code_1626,outstation,840,217,11,57001
outlet_code_1627,outstation,1171,257,15,73558
outlet_code_1628,outstation,974,233,13,63695
outlet_code_1629,outstation,734,204,10,51689
outlet_code_1630,outstation,1535,300,18,91768
outlet_code_1631,outstation,1031,240,13,66551
outlet_code_1632,upcountry,389,489,24,58341
outlet_code_1633,upcountry,1125,393,19,42754
outlet_code_1634,upcountry,1634,443,29,58027
outlet_code_1635,upcountry,1561,436,27,55835
outlet_code_1636,western,2776,3353,36,113817
outlet_code_1637,western,2302,2404,26,90100
outlet_code_1638,western,357,3160,44,153665
outlet_code_1639,western,1576,2952,51,162604
outlet_code_1640,western,1548,2897,50,159846
outlet_code_1641,western,1658,3115,54,170762
outlet_code_1642,western,1380,2560,44,142988
outlet_code_1643,western,899,1599,27,94933
outlet_code_1644,outstation,2622,331,13,65554
outlet_code_1645,outstation,318,129,16,79456
outlet_code_1646,outstation,380,145,19,94922
outlet_code_1647,outstation,318,129,16,79426
outlet_code_1648,outstation,248,112,12,61888
outlet_code_1649,outstation,1159,255,15,72959
outlet_code_1650,outstation,949,230,12,62471
outlet_code_1651,outstation,1457,291,18,87856
outlet_code_1652,outstation,1698,320,20,99897
outlet_code_1653,outstation,1101,248,14,70035
outlet_code_1654,outstation,1104,248,14,70192
outlet_code_1655,outstation,1327,275,16,81329
outlet_code_1656,upcountry,215,315,11,32222
outlet_code_1657,upcountry,770,357,11,32099
outlet_code_1658,upcountry,1334,413,23,49025
outlet_code_1659,western,2822,3445,36,116123
outlet_code_1660,western,365,3272,45,157403
